"The data was provided by Prof Monty Pride, Oceanlab, University of Aberdeen, Aberdeen, UK"							
							Graph
Sample Depth	Sources	Station	Latitude	Longitude			
517	"28,73"	1	"50,1508"	"-14,4792"			
582	"27,9"	1	"50,1508"	"-14,4792"			
547	"23,44"	1	"50,1508"	"-14,4792"			
614	"18,33"	1	"50,1508"	"-14,4792"			
1068	"12,38"	1	"50,1508"	"-14,4792"			
1005	"11,23"	1	"50,1508"	"-14,4792"			
1036	"11,06"	1	"50,1508"	"-14,4792"			
1100	"10,57"	1	"50,1508"	"-14,4792"			
1490	"8,92"	1	"50,1508"	"-14,4792"			
1520	"7,26"	1	"50,1508"	"-14,4792"			
1550	"6,6"	1	"50,1508"	"-14,4792"			
1587	"6,44"	1	"50,1508"	"-14,4792"			
1972	"4,29"	1	"50,1508"	"-14,4792"			
2003	"3,8"	1	"50,1508"	"-14,4792"			
2034	"3,63"	1	"50,1508"	"-14,4792"			
2068	"2,81"	1	"50,1508"	"-14,4792"			
2444	"2,48"	1	"50,1508"	"-14,4792"			
2504	"1,98"	1	"50,1508"	"-14,4792"			
2477	"1,32"	1	"50,1508"	"-14,4792"			
2536	"1,32"	1	"50,1508"	"-14,4792"			
3722	"0,83"	1	"50,1508"	"-14,4792"			
3446	"0,66"	1	"50,1508"	"-14,4792"			
3630	"0,66"	1	"50,1508"	"-14,4792"			
3660	"0,66"	1	"50,1508"	"-14,4792"			
3939	"0,66"	1	"50,1508"	"-14,4792"			
3414	"0,5"	1	"50,1508"	"-14,4792"			
3505	"0,5"	1	"50,1508"	"-14,4792"			
3534	"0,5"	1	"50,1508"	"-14,4792"			
3912	"0,5"	1	"50,1508"	"-14,4792"			
3568	"0,33"	1	"50,1508"	"-14,4792"			
3600	"0,33"	1	"50,1508"	"-14,4792"			
3697	"0,33"	1	"50,1508"	"-14,4792"			
3853	"0,33"	1	"50,1508"	"-14,4792"			
3880	"0,33"	1	"50,1508"	"-14,4792"			
3474	"0,17"	1	"50,1508"	"-14,4792"			
3789	"0,17"	1	"50,1508"	"-14,4792"			
3758	0	1	"50,1508"	"-14,4792"			
3818	0	1	"50,1508"	"-14,4792"			
501	"21,53"	2	"50,091"	"-14,4665"			
927	"12,88"	2	"50,091"	"-14,4665"			
865	"12,53"	2	"50,091"	"-14,4665"			
898	"11,64"	2	"50,091"	"-14,4665"			
955	"11,47"	2	"50,091"	"-14,4665"			
1319	"10,23"	2	"50,091"	"-14,4665"			
1380	"9,17"	2	"50,091"	"-14,4665"			
1412	"8,82"	2	"50,091"	"-14,4665"			
1352	"7,94"	2	"50,091"	"-14,4665"			
1799	6	2	"50,091"	"-14,4665"			
1767	"4,59"	2	"50,091"	"-14,4665"			
1828	"3,88"	2	"50,091"	"-14,4665"			
2300	"3,71"	2	"50,091"	"-14,4665"			
1857	"3,18"	2	"50,091"	"-14,4665"			
2243	"2,47"	2	"50,091"	"-14,4665"			
2212	"2,29"	2	"50,091"	"-14,4665"			
2267	"2,29"	2	"50,091"	"-14,4665"			
3333	"1,41"	2	"50,091"	"-14,4665"			
3277	"1,06"	2	"50,091"	"-14,4665"			
3394	"1,06"	2	"50,091"	"-14,4665"			
3362	"0,88"	2	"50,091"	"-14,4665"			
3164	"0,71"	2	"50,091"	"-14,4665"			
3187	"0,71"	2	"50,091"	"-14,4665"			
3249	"0,71"	2	"50,091"	"-14,4665"			
3541	"0,71"	2	"50,091"	"-14,4665"			
3423	"0,53"	2	"50,091"	"-14,4665"			
3623	"0,53"	2	"50,091"	"-14,4665"			
3857	"0,53"	2	"50,091"	"-14,4665"			
3888	"0,53"	2	"50,091"	"-14,4665"			
3448	"0,35"	2	"50,091"	"-14,4665"			
3480	"0,35"	2	"50,091"	"-14,4665"			
3509	"0,35"	2	"50,091"	"-14,4665"			
3658	"0,35"	2	"50,091"	"-14,4665"			
3716	"0,35"	2	"50,091"	"-14,4665"			
3743	"0,35"	2	"50,091"	"-14,4665"			
3771	"0,35"	2	"50,091"	"-14,4665"			
3916	"0,35"	2	"50,091"	"-14,4665"			
3219	"0,18"	2	"50,091"	"-14,4665"			
3303	"0,18"	2	"50,091"	"-14,4665"			
3565	"0,18"	2	"50,091"	"-14,4665"			
3686	"0,18"	2	"50,091"	"-14,4665"			
3798	"0,18"	2	"50,091"	"-14,4665"			
3832	"0,18"	2	"50,091"	"-14,4665"			
3595	0	2	"50,091"	"-14,4665"			
516	"24,43"	3	"50,1337"	"-14,4992"			
550	"22,41"	3	"50,1337"	"-14,4992"			
591	"20,07"	3	"50,1337"	"-14,4992"			
1053	"12,14"	3	"50,1337"	"-14,4992"			
1020	"11,05"	3	"50,1337"	"-14,4992"			
1090	"10,74"	3	"50,1337"	"-14,4992"			
1125	"9,65"	3	"50,1337"	"-14,4992"			
1555	"8,25"	3	"50,1337"	"-14,4992"			
1588	7	3	"50,1337"	"-14,4992"			
1626	"6,85"	3	"50,1337"	"-14,4992"			
1662	"4,82"	3	"50,1337"	"-14,4992"			
2131	"2,49"	3	"50,1337"	"-14,4992"			
2169	"2,49"	3	"50,1337"	"-14,4992"			
2202	"2,49"	3	"50,1337"	"-14,4992"			
2097	"1,87"	3	"50,1337"	"-14,4992"			
2625	"1,87"	3	"50,1337"	"-14,4992"			
2656	"1,71"	3	"50,1337"	"-14,4992"			
2726	"1,09"	3	"50,1337"	"-14,4992"			
3965	"1,09"	3	"50,1337"	"-14,4992"			
3750	"0,62"	3	"50,1337"	"-14,4992"			
3790	"0,62"	3	"50,1337"	"-14,4992"			
3927	"0,62"	3	"50,1337"	"-14,4992"			
2692	"0,47"	3	"50,1337"	"-14,4992"			
3890	"0,47"	3	"50,1337"	"-14,4992"			
3856	"0,31"	3	"50,1337"	"-14,4992"			
3716	"0,16"	3	"50,1337"	"-14,4992"			
3824	"0,16"	3	"50,1337"	"-14,4992"			
559	"27,56"	4	"49,8358"	"-11,4977"			
634	"27,56"	4	"49,8358"	"-11,4977"			
522	"26,45"	4	"49,8358"	"-11,4977"			
596	"24,52"	4	"49,8358"	"-11,4977"			
670	"17,73"	4	"49,8358"	"-11,4977"			
526	"26,83"	5	"49,8842"	"-11,633"			
561	"25,66"	5	"49,8842"	"-11,633"			
633	"23,01715291"	5	"49,8842"	"-11,633"			
596	"20,67"	5	"49,8842"	"-11,633"			
671	"20,08503152"	5	"49,8842"	"-11,633"			
708	"19,64521331"	5	"49,8842"	"-11,633"			
742	"16,12666764"	5	"49,8842"	"-11,633"			
773	"14,36739481"	5	"49,8842"	"-11,633"			
811	"12,46151591"	5	"49,8842"	"-11,633"			
845	"12,31490984"	5	"49,8842"	"-11,633"			
882	"12,0216977"	5	"49,8842"	"-11,633"			
919	"11,87509163"	5	"49,8842"	"-11,633"			
1305	"33,91"	6	"49,2672"	"-13,4825"			
1355	"33,59"	6	"49,2672"	"-13,4825"			
1257	"32,3"	6	"49,2672"	"-13,4825"			
1208	"29,71"	6	"49,2672"	"-13,4825"			
1750	"20,02"	6	"49,2672"	"-13,4825"			
718	"19,49"	6	"49,2672"	"-13,4825"			
818	"18,41"	6	"49,2672"	"-13,4825"			
1796	"16,79"	6	"49,2672"	"-13,4825"			
768	"16,47"	6	"49,2672"	"-13,4825"			
668	"16,26"	6	"49,2672"	"-13,4825"			
1847	"12,92"	6	"49,2672"	"-13,4825"			
1899	"9,15"	6	"49,2672"	"-13,4825"			
2386	"2,15"	6	"49,2672"	"-13,4825"			
2289	"1,94"	6	"49,2672"	"-13,4825"			
2335	"1,83"	6	"49,2672"	"-13,4825"			
2435	"1,61"	6	"49,2672"	"-13,4825"			
2828	"1,4"	6	"49,2672"	"-13,4825"			
2875	"0,75"	6	"49,2672"	"-13,4825"			
2975	"0,75"	6	"49,2672"	"-13,4825"			
2927	"0,65"	6	"49,2672"	"-13,4825"			
3415	"0,43"	6	"49,2672"	"-13,4825"			
3516	"0,43"	6	"49,2672"	"-13,4825"			
3367	"0,32"	6	"49,2672"	"-13,4825"			
3463	"0,32"	6	"49,2672"	"-13,4825"			
3897	"0,22"	6	"49,2672"	"-13,4825"			
3995	"0,11"	6	"49,2672"	"-13,4825"			
3946	0	6	"49,2672"	"-13,4825"			
"1356,21"	"45,98"	7	"49,8517"	"-13,0368"			
"1277,74"	"43,24"	7	"49,8517"	"-13,0368"			
"1473,91"	"41,48"	7	"49,8517"	"-13,0368"			
"1199,28"	"41,13"	7	"49,8517"	"-13,0368"			
"1238,51"	"39,9"	7	"49,8517"	"-13,0368"			
"1316,98"	"39,2"	7	"49,8517"	"-13,0368"			
"1513,15"	"30,23"	7	"49,8517"	"-13,0368"			
"1591,62"	"30,23"	7	"49,8517"	"-13,0368"			
"1630,85"	"26,89"	7	"49,8517"	"-13,0368"			
"1081,57"	"25,95"	7	"49,8517"	"-13,0368"			
